image1,sku,brand,product_title,specifications,descriptions,tags
https://samsgroup.info/pim-images/PKD-RDMMB1716.jpg,PKD-RDMMB1716,"Pink Kimberley Diamonds","Kimberley Amatta Ring","18ct Rose & White Gold = 5.22gm<br>Pink Round Brilliant Cut 3 = 0.16ct FLP/SIAV<br>Pink Round Brilliant Cut 8 = 0.11ct FLP/SIAV<br>Pink Round Brilliant Cut 4 = 0.02ct FLP/SIAV<br>Round Brilliant Cut 40 = 0.23ct F/VS<br>",,
https://samsgroup.info/pim-images/PKP-RDMSB0102.jpg,PKP-RDMSB0102,"Pink Kimberley Diamonds","Kimberley Nasya Necklace","18ct Rose & White Gold = 3.31gm<br>Pink Round Brilliant Cut 1 = 0.09ct 6P/SI AV<br>Round Brilliant Cut 18 = 0.43ct F/SI<br>Includes Chain<br>",,"classic,,pk christmas
"
