"Variant SKU",handle,Command,"Body HTML","Image Command","Inventory Available:Sapphire Dreams Head Office","Tags Command",Tags,Title,Type,"Variant Cost","Variant Image","Variant Price","Variant Command",Vendor,"Image Src",Status,"Variant Inventory Policy",Metafield:custom.metal_colour,Metafield:custom.metal_info,Metafield:custom.stone_info,Metafield:custom.stone_shape,Metafield:title_tag,Metafield:custom.certification,Metafield:custom.specifications,Metafield:custom.stone_colour,Metafield:custom.stone_specifications,"Variant Inventory Tracker","Variant Fulfillment Service"
SDR-OVNPWB016,adelia-blue-9ct-white-gold-ring-sdr-ovnpwb016,MERGE,"A unique, stylish piece, Adelia showcases a single Australian sapphire, in a bezel setting. This ring has been crafted in 9ct gold metal.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Solitaire, eng-solitaire-whitegold-oval-blue, bezel-set, engagement, solitaire, 1.00ct - 1.49ct","Adelia Oval Sapphire Ring",Rings,513.16,https://samsgroup.info/pim-images/SDR-OVNPWB016.jpg,2450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB016.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB016_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB016_5.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.12ct Blue Sapphire, Oval",Oval,"Adelia Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.95gm<br>Blue Sapphire Oval Cut 1 = 1.12ct<br>Sapphire Dreams Certificate No. 02318<br>",Blue,"ID No.: SDR-OVNPWB016<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.12ct<br>Size: 7.50x5.50mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWB018,toi-et-moi-blue-9ct-white-gold-ring-sdr-ovnpwb018,MERGE,"This beautiful ring is a modern take on the classic solitaire ring. Showcasing two stunning Australian sapphires placed next to one another, this ring is the perfect way to elevate your jewellery style.
",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Toi Et Moi, multi colour, matching set, two stone, ring, engagement
, Less than 1.00ct","Toi Et Moi Oval Sapphire Ring",Rings,382.40,https://samsgroup.info/pim-images/SDR-OVNPWB018.jpg,1995.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB018.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB018_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB018_5.jpg;https://samsgroup.info/pim-images/sdr-9-box-card.jpg,active,deny,"White Gold","9ct White Gold","0.78ct Blue Sapphire, Oval",Oval,"Toi Et Moi Blue Oval Shape 9ct White Gold Ring",NO,"9ct White Gold = 2.29gm<br>Blue Sapphire Oval Cut 1 = 0.78ct<br>Parti Sapphire Round Brilliant Cut 1 = 0.30ct<br>",Blue,,shopify,manual
SDR-OVNPWB019,arilla-blue-9ct-white-gold-ring-sdr-ovnpwb019,MERGE,"Stylish and beautiful, this piece showcases two cuts of Australian sapphires set in a wrap design. This piece is flattering and versatile and can be easily styled for daily wear.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Toi Et Moi, wrap, two stone, engagement, Less than 1.00ct","Arilla Oval Sapphire Ring",Rings,504.79,https://samsgroup.info/pim-images/SDR-OVNPWB019.jpg,2395.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB019.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB019_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB019_5.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","0.83ct Blue Sapphire, Oval",Oval,"Arilla Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.73gm<br>Blue Sapphire Oval Cut 1 = 0.83ct<br>Sapphire Dreams Certificate No. 01672<br>Parti Sapphire Round Brilliant Cut 1 = 0.70ct<br>",Blue,"ID No.: SDR-OVNPWB019<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.83ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWB020,yooralla-multicolour-18ct-white-gold-ring-sdr-ovnpwb020,MERGE,"Unique and striking, the Yooralla ring features three beautiful Australian sapphires delicately set amongst bands of sparkling white diamonds.",REPLACE,1,REPLACE,"Multicolour, Round, Rings, White Gold, 18ct White Gold, Prestige, sapphire and diamond, rings, Less than 1.00ct","Yooralla Ring",Rings,1344.01,https://samsgroup.info/pim-images/SDR-OVNPWB020.jpg,6250.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB020.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB020_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWB020_5.jpg;https://samsgroup.info/pim-images/sdr-18-box-card.jpg,active,deny,"White Gold","18ct White Gold","0.31ct Multicolour Sapphire, Round",Round,"Yooralla Multicolour Round Shape 18ct White Gold Ring",NO,"18ct White Gold = 5.05gm<br>Blue Sapphire Round Brilliant Cut 1 = 0.31ct<br>Blue Sapphire Oval Cut 1 = 1.04ct<br>Blue Sapphire Pear Cut 1 = 0.24ct<br>Round Brilliant Cut 37 = 0.18ct F/VS<br>",Multicolour,,shopify,manual
SDR-OVNPWB021,maira-blue-9ct-white-gold-ring-sdr-ovnpwb021,MERGE,"Simple yet beautiful, our Maira Ring makes for the ultimate engagement ring. Featuring an exquisite Australian Sapphire as the feature stone, secured by a simple claw.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Rings, solitaire, engagement,eng-solitaire-whitegold-oval-blue, matching set, 1.00ct - 1.49ct","Maira Oval Sapphire Ring",Rings,544.90,https://samsgroup.info/pim-images/SDR-OVNPWB021.jpg,2595.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB021.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.33ct Blue Sapphire, Oval",Oval,"Maira Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.55gm<br>Blue Sapphire Oval Cut 1 = 1.33ct<br>Sapphire Dreams Certificate No. 04123<br>",Blue,"ID No.: SDR-OVNPWB021<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.33ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWB022,maira-blue-9ct-white-gold-ring-sdr-ovnpwb022,MERGE,"Simple yet beautiful, our Maira Ring makes for the ultimate engagement ring. Featuring an exquisite Australian Sapphire as the feature stone, secured by a simple claw.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Rings, solitaire, engagement,eng-solitaire-whitegold-oval-blue, matching set, 1.00ct - 1.49ct","Maira Oval Sapphire Ring",Rings,572.90,https://samsgroup.info/pim-images/SDR-OVNPWB022.jpg,2750.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB022.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.43ct Blue Sapphire, Oval",Oval,"Maira Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.48gm<br>Blue Sapphire Oval Cut 1 = 1.43ct<br>Sapphire Dreams Certificate No. 04125<br>",Blue,"ID No.: SDR-OVNPWB022<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.43ct<br>Size: 8.00x5.80mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWB023,maira-blue-9ct-white-gold-ring-sdr-ovnpwb023,MERGE,"Simple yet beautiful, our Maira Ring makes for the ultimate engagement ring. Featuring an exquisite Australian Sapphire as the feature stone, secured by a simple claw.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Rings, solitaire, engagement,eng-solitaire-whitegold-oval-blue, matching set, 1.50ct - 1.99ct","Maira Oval Sapphire Ring",Rings,592.50,https://samsgroup.info/pim-images/SDR-OVNPWB023.jpg,2850.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB023.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.50ct Blue Sapphire, Oval",Oval,"Maira Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.71gm<br>Blue Sapphire Oval Cut 1 = 1.50ct<br>Sapphire Dreams Certificate No. 04114<br>",Blue,"ID No.: SDR-OVNPWB023<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.50ct<br>Size: 7.90x5.90mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWB024,adelia-blue-9ct-white-gold-ring-sdr-ovnpwb024,MERGE,"The Adelia Ring features a unique bezel set Australian sapphire for a stylish, timeless accessory! Pair this ring with its matching necklace and earrings for a seamless look.",REPLACE,1,REPLACE,"Blue, Oval, Rings, White Gold, 9ct White Gold, Solitaire, bezel, solitaire, engagement, set, eng-solitaire-whitegold-oval-blue, maching set, 1.50ct - 1.99ct","Adelia Oval Sapphire Ring",Rings,709.63,https://samsgroup.info/pim-images/SDR-OVNPWB024.jpg,3450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWB024.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.87ct Blue Sapphire, Oval",Oval,"Adelia Blue Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.73gm<br>Blue Sapphire Oval Cut 1 = 1.87ct<br>Sapphire Dreams Certificate No. 04102<br>",Blue,"ID No.: SDR-OVNPWB024<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.87ct<br>Size: 8.10x6.10mm<br>Origin: AUSTRALIA",shopify,manual
SDR-OVNPWG001,jolie-green-18ct-white-gold-ring-sdr-ovnpwg001,MERGE,"Add a pop of colour to your fingers with our gorgeous Jolie Ring, crafted in durable 18ct White Gold. Featuring a gorgeous oval shaped Green Australian Sapphire, with exquisite natural White Diamonds on each side, Jolie makes for the perfect accessory to bring subtle glamour to your everyday look.",REPLACE,5,REPLACE,"Green, Oval, Rings, White Gold, 18ct White Gold, Solitaire, diamond-band, sapphire and diamond, Less than 1.00ct","Jolie Ring",Rings,353.21,https://samsgroup.info/pim-images/SDR-OVNPWG001.jpg,1595.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWG001.jpg;https://samsgroup.info/pim-images/SDR-OVNPWG001_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWG001_5.jpg;https://samsgroup.info/pim-images/sdr-18-box-card.jpg,active,deny,"White Gold","18ct White Gold","0.38ct Green Sapphire, Oval",Oval,"Jolie Green Oval Shape 18ct White Gold Ring",NO,"18ct White Gold = 2.51gm<br>Green Sapphire Oval Cut 1 = 0.38ct<br>Round Brilliant Cut 8 = 0.04ct F/VS<br>",Green,,shopify,manual
SDR-OVNPWG004,maira-green-9ct-white-gold-ring-sdr-ovnpwg004,MERGE,"Simple yet beautiful, our Maira Ring makes for the ultimate engagement ring. Featuring an exquisite Australian Sapphire as the feature stone, secured by a simple claw.",REPLACE,1,REPLACE,"Green, Oval, Rings, White Gold, 9ct White Gold, Solitaire, solitaire, engagement, eng-solitaire-whitegold-oval-green, 1.00ct - 1.49ct","Maira Oval Sapphire Ring",Rings,482.97,https://samsgroup.info/pim-images/SDR-OVNPWG004.jpg,2450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDR-OVNPWG004.jpg;https://samsgroup.info/pim-images/SDR-OVNPWG004_4.jpg;https://samsgroup.info/pim-images/SDR-OVNPWG004_5.jpg;https://samsgroup.info/pim-images/sdr-9-box-card-cert.jpg,active,deny,"White Gold","9ct White Gold","1.35ct Green Sapphire, Oval",Oval,"Maira Green Oval Shape 9ct White Gold Ring",YES,"9ct White Gold = 2.67gm<br>Green Sapphire Oval Cut 1 = 1.35ct<br>Sapphire Dreams Certificate No. 02169<br>",Green,"ID No.: SDR-OVNPWG004<br>Colour: GREEN<br>Shape: OVAL<br>Weight: 1.35ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",shopify,manual
