"Variant SKU",handle,Command,"Body HTML","Image Command","Inventory Available:Pink Kimberley Head Office","Tags Command",Tags,Title,Type,"Variant Cost","Variant Image",Metafield:custom.specifications,"Variant Price","Variant Command",Vendor,"Image Src",Status,Metafield:custom.centrecolour,"Variant Inventory Policy","Variant Inventory Tracker","Variant Fulfillment Service"
BPB-RDDRB0101,blush-sway-bracelet-bpb-rddrb0101,MERGE,"Beautiful natural Australian Argyle pink diamonds set between delicate strands of 18ct rose and white gold.",REPLACE,4,REPLACE,"BP-set,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Sway Bracelet",Bracelets,338.69,https://samsgroup.info/pim-images/BPB-RDDRB0101.jpg,"18ct Rose & White Gold = 1.64gm<br>Pink Round Brilliant Cut 5 = 0.14ct FLP/SI<br>",2195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0101.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0101_4.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0201,blush-sunday-bracelet-bpb-rddrb0201,MERGE,"A stunning circle of natural Australian Argyle pink diamonds set on a fine chain. Crafted in 18ct rose and white gold.",REPLACE,4,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Sunday Bracelet",Bracelets,312.08,https://samsgroup.info/pim-images/BPB-RDDRB0201.jpg,"18ct Rose & White Gold = 2.02gm<br>Pink Round Brilliant Cut 20 = 0.1ct FLP/SI<br>",2095.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0201.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0301,blush-infinite-love-bracelet-bpb-rddrb0301,MERGE,"A beautiful twist of natural Australian Argyle pink diamonds set on a fine 18ct white gold chain.",REPLACE,5,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Infinite Love Bracelet",Bracelets,494.31,https://samsgroup.info/pim-images/BPB-RDDRB0301.jpg,"18ct Rose & White Gold = 2.05gm<br>Pink Round Brilliant Cut 39 = 0.21ct FLP/SI<br>",3195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0301.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0401,blush-butterfly-bracelet-bpb-rddrb0401,MERGE,"A delicate blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,3,REPLACE,"floral, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Butterfly Bracelet",Bracelets,268.08,https://samsgroup.info/pim-images/BPB-RDDRB0401.jpg,"18ct Rose & White Gold = 1.92gm<br>Pink Round Brilliant Cut 9 = 0.08ct FLP/SI<br>",1795.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0401.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0401_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0401_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0501,blush-cross-bracelet-bpb-rddrb0501,MERGE,"A delicate blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,5,REPLACE,"cross,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Cross Bracelet",Bracelets,292.69,https://samsgroup.info/pim-images/BPB-RDDRB0501.jpg,"18ct Rose & White Gold = 1.67gm<br>Pink Round Brilliant Cut 12 = 0.10ct FLP/SI<br>",1950.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0501.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0501_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0501_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0601,blush-petali-bracelet-bpb-rddrb0601,MERGE,"An asymmetrically designed bracelet featuring Australian Argyle pink diamonds pave set in a lovely petal adorn beautifully with a circle of white diamond. Sets in 18ct rose and white gold",REPLACE,5,REPLACE,"BP-set,halo,floral, christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Petali Bracelet",Bracelets,340.38,https://samsgroup.info/pim-images/BPB-RDDRB0601.jpg,"18ct Rose & White Gold = 1.89gm<br>Pink Round Brilliant Cut 6 = 0.06ct FLP/SI<br>Round Brilliant Cut 11 = 0.08ct G/SI<br>incl. 18ct White Gold Chain = 0.53gm 16cm<br>",2195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0601.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0701,blush-iria-bracelet-bpb-rddrb0701,MERGE,"A gorgeous asymmetric 4 leaf bracelet set with Australian Argyle pink diamonds subtly finished dainty white diamonds. These lovely earrings are made from 18ct rose and white gold.",REPLACE,2,REPLACE,"BP-set,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Iria Bracelet",Bracelets,380.77,https://samsgroup.info/pim-images/BPB-RDDRB0701.jpg,"18ct Rose & White Gold = 2.14gm<br>Pink Round Brilliant Cut 6 = 0.06ct FLP/SI<br>Round Brilliant Cut 24 = 0.09ct G/SI<br>incl. 18ct White Gold Chain = 0.53gm 17cm<br>",2750.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0701.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDCPB0201,blush-brielle-ring-bpd-rdcpb0201,MERGE,"A unique and trendy ring featuring Argyle pink diamonds and glistening white diamonds in an intricate twist design. Brielle is set in 18ct Rose and White Gold, a durable and long lasting precious metal.",REPLACE,7,REPLACE,"stackable
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Brielle Ring",Rings,721.38,https://samsgroup.info/pim-images/BPD-RDCPB0201.jpg,"18ct Rose & White Gold = 4.00gm<br>Pink Round Brilliant Cut 11 = 0.10ct FLP/SIAV<br>Round Brilliant Cut 12 = 0.06ct G/SI<br>",3650.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDCPB0201.jpg;https://samsgroup.info/pim-images/BPD-RDCPB0201_4.jpg;https://samsgroup.info/pim-images/BPD-RDCPB0201_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0102,blush-mirikel-ring-bpd-rdntb0102,MERGE,"A striking blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,8,REPLACE,"dress, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Mirikel Ring",Rings,780.00,https://samsgroup.info/pim-images/BPD-RDNTB0102.jpg,"18ct Rose & White Gold = 5.07gm<br>Pink Round Brilliant Cut 1 = 0.07ct FLP/SI<br>Pink Round Brilliant Cut 16 = 0.10ct FLP/SI<br>Round Brilliant Cut 38  = 0.16ct G/SI<br>",5050.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0102.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0102_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0102_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0201,blush-grace-ring-bpd-rdntb0201,MERGE,"A stunning blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,6,REPLACE,"dress, christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Grace Ring",Rings,692.00,https://samsgroup.info/pim-images/BPD-RDNTB0201.jpg,"18ct Rose & White Gold = 5.13gm<br>Pink Round Brilliant Cut 19 = 0.1ct FLP/SI<br>Round Brilliant Cut 42 = 0.18ct G/SI<br>",4450.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0201.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0201_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0201_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0301,blush-kaila-ring-bpd-rdntb0301,MERGE,"An exceptional deco style band featuring beautifully set natural Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,7,REPLACE,"dress, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Kaila Ring",Rings,941.15,https://samsgroup.info/pim-images/BPD-RDNTB0301.jpg,"18ct Rose & White Gold = 5.71gm<br>Pink Round Brilliant Cut 9 = 0.19ct FLP/SI<br>Round Brilliant Cut 38 = 0.23ct G/SI<br>",6495.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0301.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_5.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0401,blush-amaya-ring-bpd-rdntb0401,MERGE,"Beautifully designed chain-link ring featuring Argyle pink diamonds and brilliant white diamonds. Sets in 18ct rose and white gold.",REPLACE,6,REPLACE,"dress, christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Amaya Ring",Rings,576.48,https://samsgroup.info/pim-images/BPD-RDNTB0401.jpg,"18ct Rose & White Gold = 3.62gm<br>Pink Round Brilliant Cut 16 = 0.17ct FLP/SI<br>Round Brilliant Cut 24 = 0.20ct G/SI<br>",5195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0401.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0401_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0401_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDSSB0101,blush-jubilee-ring-bpd-rdssb0101,MERGE,"A dazzling blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,17,REPLACE,"stackable, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Jubilee Ring",Rings,296.38,https://samsgroup.info/pim-images/BPD-RDSSB0101.jpg,"18ct Rose & White Gold = 2.18gm<br>Pink Round Brilliant Cut 5 = 0.04ct FLP/SI<br>Round Brilliant Cut 4 = 0.02ct G/SI<br>",1950.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDSSB0101.jpg;https://samsgroup.info/pim-images/BPD-RDSSB0101_4.jpg;https://samsgroup.info/pim-images/BPD-RDSSB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDSTB0201,blush-aida-dress-ring-bpd-rdstb0201,MERGE,"A fabulous three band dress ring with a row of Argyle pink diamonds sitting beautifully on top of two rows of claw set white diamonds. Set in 18ct rose and white gold.",REPLACE,15,REPLACE,"dress,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Aida Dress Ring",Rings,805.92,https://samsgroup.info/pim-images/BPD-RDSTB0201.jpg,"18ct Rose & White Gold = 4.85gm<br>Pink Round Brilliant Cut 21 = 0.16ct FLP/SI<br>Round Brilliant Cut 28=0.21ct G/SI<br>",5195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDSTB0201.jpg;https://samsgroup.info/pim-images/BPD-RDSTB0201_4.jpg;https://samsgroup.info/pim-images/BPD-RDSTB0201_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDSTT0101,blush-aida-dress-ring-bpd-rdstt0101,MERGE,"A fabulous three band dress ring with a row of Argyle pink diamonds sitting beautifully on top of two rows of claw set white diamonds. Set in 18ct rose and white gold.",REPLACE,7,REPLACE,"dress, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Aida Dress Ring",Rings,812.54,https://samsgroup.info/pim-images/BPD-RDSTT0101.jpg,"18ct Three Gold (R/W/Y) = 4.70gm<br>Pink Round Brilliant Cut 21 = 0.16ct FLP/SI<br>Round Brilliant Cut 28 = 0.22ct G/SI<br>",5195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDSTT0101.jpg;https://samsgroup.info/pim-images/BPD-RDSTT0101_4.jpg;https://samsgroup.info/pim-images/BPD-RDSTT0101_5.jpg;https://samsgroup.info/pim-images/BPD-RDSTT0101_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-STCFB0101,blush-rhea-ring-bpd-stcfb0101,MERGE,"A stunning star themed cluster setting with natural Argyle pink diamonds. A trail of white diamonds twist around to form this sparkling ring. Crafted in 18ct rose and white gold.",REPLACE,1,REPLACE,"star,BP-set,, Blush Pink Diamonds, FLP, P - Pink, SIAV, Rings, Rings, Preorder, ","Blush Rhea Ring",Rings,640.77,https://samsgroup.info/pim-images/BPD-STCFB0101.jpg,"18ct Rose & White Gold Ring = 4.26gm<br>Pink Round Brilliant Cut 11 = 0.14ct FLP/SIAV<br>Round Brilliant Cut 15=0.21ct G/SI<br>",3850.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-STCFB0101.jpg;https://samsgroup.info/pim-images/BPD-STCFB0101_4.jpg;https://samsgroup.info/pim-images/BPD-STCFB0101_5.jpg;https://samsgroup.info/pim-images/BPD-STCFB0101_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-ASSSB0101,blush-addison-earrings-bpe-asssb0101,MERGE,"Addison is a unique and trendy piece, featuring an exquisite Argyle pink diamond as the feature stone, haloed by smaller pink diamonds and fine white diamonds in a unique octagonal setting. Crafted in 18ct Rose and White Gold, these earrings are stylish and add an elegant touch to your everyday look.",REPLACE,6,REPLACE,"BP-set,halo,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Addison Earrings",Earrings,1424.31,https://samsgroup.info/pim-images/BPE-ASSSB0101.jpg,"18ct Rose & White Gold = 4.50gm<br>Pink Round Brilliant Cut 2 = 0.14ct FLP/SIAV<br>Pink Round Brilliant Cut 32 = 0.12ct FLP/SIAV<br>Round Brilliant Cut 32 = 0.19ct G/SI<br>",7150.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-ASSSB0101.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0101_4.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0101_5.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0101_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-ASSSB0102,blush-addison-earrings-bpe-asssb0102,MERGE,"Addison is a unique and trendy piece, featuring an exquisite Argyle pink diamond as the feature stone, haloed by smaller pink diamonds and fine white diamonds in a unique octagonal setting. Crafted in 18ct Rose and White Gold, these earrings are stylish and add an elegant touch to your everyday look.",REPLACE,4,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, SIAV, Earrings, Earrings, Rose Gold Metal, ","Blush Addison Earrings",Earrings,730.54,https://samsgroup.info/pim-images/BPE-ASSSB0102.jpg,"18ct Rose & White Gold = 2.22gm<br>Pink Round Brilliant Cut 18 = 0.11ct FLP/SIAV<br>Round Brilliant Cut 32 = 0.12ct G/SI<br>",3695.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-ASSSB0102.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0102_4.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0102_5.jpg;https://samsgroup.info/pim-images/BPE-ASSSB0102_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSCHB0101,blush-fleur-earrings-bpe-cschb0101,MERGE,"A pair of famine drop earrings featuring an elegant halos of Argyle pink diamonds adorned with beautiful seamless petal shaped white Round Brilliant diamonds. Set in 18ct rose and white gold.",REPLACE,3,REPLACE,"drop,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Fleur Earrings",Earrings,1758.46,https://samsgroup.info/pim-images/BPE-CSCHB0101.jpg,"18ct Rose & White Gold = 8.50gm<br>Pink Round Brilliant Cut  58 = 0.35ct FLP/SI<br>Round Brilliant Cut  160 = 0.79ct G/SI<br>",11050.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSCHB0101.jpg;https://samsgroup.info/pim-images/BPE-CSCHB0101_4.jpg;https://samsgroup.info/pim-images/BPE-CSCHB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSCPB0101,blush-adelaide-earrings-bpe-cscpb0101,MERGE,"A gorgeous blend of natural Australian Argyle pink diamonds with fine white diamonds.",REPLACE,3,REPLACE,"drop,BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Adelaide Earrings",Earrings,959.46,https://samsgroup.info/pim-images/BPE-CSCPB0101.jpg,"18ct Rose & White Gold = 3.64gm<br>Pink Round Brilliant Cut 58 = 0.37ct FLP/SI<br>Round Brilliant Cut 32 = 0.16ct G/SI<br>",6095.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSCPB0101.jpg;https://samsgroup.info/pim-images/BPE-CSCPB0101_4.jpg;https://samsgroup.info/pim-images/BPE-CSCPB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSCSB0101,blush-mon-cherie-earrings-bpe-cscsb0101,MERGE,"A superb blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,5,REPLACE,"stud,halo,classic,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Mon Cherie Earrings",Earrings,420.69,https://samsgroup.info/pim-images/BPE-CSCSB0101.jpg,"18ct Rose & White Gold = 1.61gm<br>Pink Round Brilliant Cut 8 = 0.12ct FLP/SI<br>Round Brilliant Cut 28 = 0.11ct G/SI<br>",2750.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSCSB0101.jpg;https://samsgroup.info/pim-images/BPE-CSCSB0101_4.jpg;https://samsgroup.info/pim-images/BPE-CSCSB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSCSB0201,blush-jordyn-earrings-bpe-cscsb0201,MERGE,"Classic Argyle pink diamonds earrings adorned with halo of white diamonds. Crafted in 18ct rose and white gold.",REPLACE,4,REPLACE,"stud,BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Jordyn Earrings",Earrings,1080.00,https://samsgroup.info/pim-images/BPE-CSCSB0201.jpg,"18ct Rose & White Gold = 4.17gm<br>Pink Round Brilliant Cut  50 = 0.3ct FLP/SI<br>Round Brilliant Cut  40 = 0.24ct G/SI<br>",6750.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSCSB0201.jpg;https://samsgroup.info/pim-images/BPE-CSCSB0201_4.jpg;https://samsgroup.info/pim-images/BPE-CSCSB0201_5.jpg;https://samsgroup.info/pim-images/BPE-CSCSB0201_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSDSB0102,blush-thea-earrings-bpe-csdsb0102,MERGE,"A gorgeous blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,4,REPLACE,"stud,BP-set,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Thea Earrings",Earrings,1227.00,https://samsgroup.info/pim-images/BPE-CSDSB0102.jpg,"18ct Rose & White Gold = 2.70gm<br>Pink Round Brilliant Cut 18 = 0.56ct FLP/SI<br>Round Brilliant Cut 40 = 0.24ct G/SI<br>",7650.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSDSB0102.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0102_4.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0102_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSDSB0401,blush-lilibeth-earrings-bpe-csdsb0401,MERGE,"A pair of wonderfully rounded floral earrings featuring Argyle pink diamonds and fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,1,REPLACE,"stud,halo,floral,matching-set, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Lilibeth Earrings",Earrings,1379.77,https://samsgroup.info/pim-images/BPE-CSDSB0401.jpg,"18ct Rose & White Gold = 5.29gm<br>Pink Round Brilliant Cut 26 = 0.28ct FLP/SIAV<br>Round Brilliant Cut 32 = 0.14ct G/SI<br>",6895.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSDSB0401.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0401_4.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0401_5.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0401_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CSDSB0402,blush-lilibeth-earrings-bpe-csdsb0402,MERGE,"A pair of wonderfully rounded floral earrings featuring Argyle pink diamonds and fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,4,REPLACE,"stud,BP-set,halo,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, ","Blush Lilibeth Earrings",Earrings,737.62,https://samsgroup.info/pim-images/BPE-CSDSB0402.jpg,"18ct Rose & White Gold = 2.45gm<br>Pink Round Brilliant Cut 22 = 0.11ct FLP/SIAV<br>Round Brilliant Cut 32 = 0.10ct G/SI<br>",3695.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CSDSB0402.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0402_4.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0402_5.jpg;https://samsgroup.info/pim-images/BPE-CSDSB0402_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-CUCSB0101,blush-hope-earrings-bpe-cucsb0101,MERGE,"A perfect blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,5,REPLACE,"stud,BP-set,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Hope Earrings",Earrings,485.54,https://samsgroup.info/pim-images/BPE-CUCSB0101.jpg,"18ct Rose & White Gold = 1.78gm<br>Pink Round Brilliant Cut 8 = 0.09ct FLP/SI<br>Round Brilliant Cut 32 = 0.12ct G/SI<br>",3195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-CUCSB0101.jpg;https://samsgroup.info/pim-images/BPE-CUCSB0101_4.jpg;https://samsgroup.info/pim-images/BPE-CUCSB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-EMCSB0101,blush-dawn-earrings-bpe-emcsb0101,MERGE,"A gorgeous blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,5,REPLACE,"stud,BP-set,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, Preorder, ","Blush Dawn Earrings",Earrings,609.92,https://samsgroup.info/pim-images/BPE-EMCSB0101.jpg,"18ct Rose & White Gold = 2.26gm<br>Pink Round Brilliant Cut 12 = 0.13ct FLP/SI<br>Round Brilliant Cut 36 = 0.17ct G/SI<br>",3995.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-EMCSB0101.jpg;https://samsgroup.info/pim-images/BPE-EMCSB0101_4.jpg;https://samsgroup.info/pim-images/BPE-EMCSB0101_5.jpg;https://samsgroup.info/pim-images/BPE-EMCSB0101_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPE-FLDSB0101,blush-delilah-earrings-bpe-fldsb0101,MERGE,"The Delilah Earrings feature a stunning arrangement of fancy light pink argyle diamonds in a floral cluster, set within a halo of sparkling white diamonds.
",REPLACE,10,REPLACE,"halo, bp-set, studs, earrings, floral, bloom
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Earrings, Earrings, Rose Gold Metal, ","Blush Delilah Earrings",Earrings,684.23,https://samsgroup.info/pim-images/BPE-FLDSB0101.jpg,"18ct Rose & White Gold = 1.58gm<br>Pink Round Brilliant Cut 14 = 0.10ct FLP/SIAV<br>Round Brilliant Cut 32 = 0.12ct G/SI<br>",3450.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPE-FLDSB0101.jpg;https://samsgroup.info/pim-images/BPE-FLDSB0101_4.jpg;https://samsgroup.info/pim-images/BPE-FLDSB0101_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
