"Variant SKU",handle,Command,"Body HTML","Image Command","Inventory Available:Pink Kimberley Head Office","Tags Command",Tags,Title,Type,"Variant Cost","Variant Image",Metafield:custom.specifications,"Variant Price","Variant Command",Vendor,"Image Src",Status,Metafield:custom.centrecolour,"Variant Inventory Policy","Variant Inventory Tracker","Variant Fulfillment Service"
BPP-RDNNB0601,blush-petali-necklace-bpp-rdnnb0601,MERGE,"An asymmetrically designed necklace featuring Australian Argyle pink diamonds pave set in a lovely petal adorn beautifully with a circle of white diamond. Sets in 18ct rose and white gold",REPLACE,4,REPLACE,"BP-set,halo,floral,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Petali Necklace",Necklaces,474.46,https://samsgroup.info/pim-images/BPP-RDNNB0601.jpg,"18ct Rose & White Gold = 3.15gm<br>Pink Round Brilliant Cut 6 = 0.06ct FLP/SI<br>Round Brilliant Cut 16 = 0.10ct G/SI<br>incl. 18ct White Gold Chain = 1.52gm 46cm<br>",3195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDNNB0601.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0601_4.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0601_5.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0601_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDNNB0801,blush-iria-necklace-bpp-rdnnb0801,MERGE,"A gorgeous asymmetric 4 leaf necklace set with Australian Argyle pink diamonds subtly finished dainty white diamonds. These lovely earrings are made from 18ct rose and white gold.",REPLACE,3,REPLACE,"BP-set,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Iria Necklace",Necklaces,690.23,https://samsgroup.info/pim-images/BPP-RDNNB0801.jpg,"18ct Rose & White Gold = 4.03gm<br>Pink Round Brilliant Cut 8 = 0.15ct FLP/SI<br>Round Brilliant Cut 28 = 0.14ct G/SI<br>incl. 18ct White Gold Chain = 1.45gm 45cm<br>",4895.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDNNB0801.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0801_4.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0801_5.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0801_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDNNB0901,blush-melody-necklace-bpp-rdnnb0901,MERGE,"Blush Melody necklace is crafted with 18ct rose and white gold circles traced with Argyle pink diamonds and white diamonds suspended from a delicate chain is striking with simplicity.",REPLACE,6,REPLACE,"BP-set,halo,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Melody Necklace",Necklaces,620.38,https://samsgroup.info/pim-images/BPP-RDNNB0901.jpg,"18ct Rose & White Gold = 3.21gm<br>Pink Round Brilliant Cut 15 = 0.13ct FLP/SI<br>Round Brilliant Cut 20 = 0.16ct G/SI<br>incl. 18ct White Gold Chain = 1.69gm 46cm<br>",4395.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDNNB0901.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0901_4.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0901_5.jpg;https://samsgroup.info/pim-images/BPP-RDNNB0901_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDNNB1001,blush-gemini-necklace-bpp-rdnnb1001,MERGE,"This classic and captivating Argyle pink diamonds necklace is striking in its simplicity. Sets in 18ct rose and white gold.",REPLACE,9,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Gemini Necklace",Necklaces,465.77,https://samsgroup.info/pim-images/BPP-RDNNB1001.jpg,"18ct Rose & White Gold = 3.75gm<br>Pink Round Brilliant Cut 7 = 0.07ct FLP/SI<br>Round Brilliant Cut 7 = 0.06ct G/SI<br>incl. 18ct White Gold Chain = 1.70gm 46cm<br>",3295.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDNNB1001.jpg;https://samsgroup.info/pim-images/BPP-RDNNB1001_4.jpg;https://samsgroup.info/pim-images/BPP-RDNNB1001_5.jpg;https://samsgroup.info/pim-images/BPP-RDNNB1001_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDNSB0701,blush-ophelia-necklace-bpp-rdnsb0701,MERGE,"A classic take on our petite necklace, our Ophelia necklace features a single Argyle pink diamond within the setting. Crafted in 18ct rose and white gold.",REPLACE,9,REPLACE,"BP-set,Petite Collection,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Ophelia Necklace",Necklaces,202.52,https://samsgroup.info/pim-images/BPP-RDNSB0701.jpg,"18ct Rose & White Gold = 1.02gm<br>Pink Round Brilliant Cut 1 = 0.04ct FLP/SI<br>",1250.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDNSB0701.jpg;https://samsgroup.info/pim-images/BPP-RDNSB0701_4.jpg;https://samsgroup.info/pim-images/BPP-RDNSB0701_5.jpg;https://samsgroup.info/pim-images/BPP-RDNSB0701_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDSSB0101,blush-paisley-necklace-bpp-rdssb0101,MERGE,"Dainty and elegant, Paisley is a stunning floral inspired necklace featuring glistening petals of Argyle pink diamond and natural white diamonds, set in 18ct Rose and White Gold.",REPLACE,1,REPLACE,"BP-set,floral,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Paisley Necklace",Necklaces,1083.92,https://samsgroup.info/pim-images/BPP-RDSSB0101.jpg,"18ct Rose & White Gold = 2.68gm<br>Pink Round Brilliant Cut 7 = 0.21ct FLP/SIAV<br>Round Brilliant Cut 18 = 0.10ct G/SI<br>incl. 18ct WG Chain = 1.71gm 46cm<br>",5450.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDSSB0101.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0101_4.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0101_5.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0101_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDSSB0102,blush-paisley-necklace-bpp-rdssb0102,MERGE,"Dainty and elegant, Paisley is a stunning floral inspired necklace featuring glistening petals of Argyle pink diamond and natural white diamonds, set in 18ct Rose and White Gold.",REPLACE,5,REPLACE,"BP-set,halo,floral,, Blush Pink Diamonds, FLP, P - Pink, SIAV, Necklaces, Necklaces, Rose Gold Metal, ","Blush Paisley Necklace",Necklaces,860.00,https://samsgroup.info/pim-images/BPP-RDSSB0102.jpg,"18ct Rose & White Gold = 4.01gm<br>Pink Round Brilliant Cut 7 = 0.12ct FLP/SIAV<br>Round Brilliant Cut 18 = 0.07ct G/SI<br>incl. 18ct WG Chain = 1.60gm 45cm<br>",4350.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDSSB0102.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0102_4.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0102_5.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0102_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDSSB0201,blush-ayla-necklace-bpp-rdssb0201,MERGE,"Simple yet elegant, our Ayla Necklace features a single Argyle pink diamond as the centre stone, surrounded by halos of smaller Argyle pink diamonds and fine white diamonds. This classic necklace is the perfect versatile accessory for everyday wear, set in 18ct Rose and White Gold.",REPLACE,5,REPLACE,"BP-set,halo,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Ayla Necklace",Necklaces,975.31,https://samsgroup.info/pim-images/BPP-RDSSB0201.jpg,"18ct Rose & White Gold = 2.28gm<br>Pink Round Brilliant Cut 1 = 0.06ct FLP/SIAV<br>Pink Round Brilliant Cut 12 = 0.09ct FLP/SIAV<br>Round Brilliant Cut 22 = 0.11ct G/SI<br>incl. 18ct WG Chain = 1.71gm 46cm<br>",4895.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDSSB0201.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0201_4.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0201_5.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0201_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDSSB0202,blush-ayla-necklace-bpp-rdssb0202,MERGE,"Simple yet elegant, our Ayla Necklace features a single Argyle pink diamond as the centre stone, surrounded by halos of smaller Argyle pink diamonds and fine white diamonds. This classic necklace is the perfect versatile accessory for everyday wear, set in 18ct Rose and White Gold.",REPLACE,3,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, SIAV, Necklaces, Necklaces, Rose Gold Metal, ","Blush Ayla Necklace",Necklaces,765.00,https://samsgroup.info/pim-images/BPP-RDSSB0202.jpg,"18ct Rose & White Gold = 3.82gm<br>Pink Round Brilliant Cut 11 = 0.08ct FLP/SIAV<br>Round Brilliant Cut 16 = 0.08ct G/SI<br>incl. 18ct WG Chain = 1.58gm 45cm<br>",3850.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDSSB0202.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0202_4.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0202_5.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0202_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPP-RDSSB0301,blush-sunshine-necklace-bpp-rdssb0301,MERGE,"The Blush Sunshine Necklace features stunning Argyle pink diamonds in the centre and surrounded by fine natural white diamonds for an extra touch of sparkle. Crafted in 18ct Rose and White Gold, this necklace adds a subtle pop of colour to any outfit.",REPLACE,5,REPLACE,"BP-set,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Necklaces, Necklaces, Rose Gold Metal, Preorder, ","Blush Sunshine Necklace",Necklaces,1084.77,https://samsgroup.info/pim-images/BPP-RDSSB0301.jpg,"18ct Rose & White Gold = 2.83gm<br>Pink Round Brilliant Cut 7 = 0.18ct FLP/SIAV<br>Round Brilliant Cut 16 = 0.17ct G/SI<br>incl. 18ct WG Chain = 1.71gm 46cm<br>",5450.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPP-RDSSB0301.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0301_4.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0301_5.jpg;https://samsgroup.info/pim-images/BPP-RDSSB0301_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
